language_id,name,glottocode,clade,glottolog_path,n_forms
abvdoceanic-Piva_858,Piva,lawu1237,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/piva1237/lawu1237,183
abvdoceanic-MortlockeseLukunosh_923,Mortlockese (Lukunosh),mort1237,oceanic,aust1307/mala1545/east2712/ocea1241/micr1243/cent2276/west2844/pona1247/truk1243/nucl1749/cent2290/east2764/mort1238/mort1237,191
abvdoceanic-Papitalai_995,Papitalai,papi1254,oceanic,aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/east2460/koro1314/bowa1234/papi1254,179
abvdoceanic-Lelepa_1000,Lelepa,lele1267,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/efat1241/efat1236/nort3222/lele1267,174
abvdoceanic-Roria_1006,Roria,rori1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/rori1237,150
abvdoceanic-BiereboYevali_1007,Bierebo (Yevali),bier1244,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/baki1243/bier1244,162
abvdoceanic-Mpotovoro_1009,Mpotovoro,mpot1241,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/nort3223/nort3230/boto1250/mpot1241,161
abvdoceanic-AkeiPenantsiro_1010,Akei (Penantsiro),akei1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/west2845/akei1237,153
abvdoceanic-Tutuba_1011,Tutuba,tutu1241,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/east2754/mafe1238/tutu1241,143
abvdoceanic-Vunapu_1015,Vunapu,vuna1239,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/nort3217/vuna1239,104
abvdoceanic-Lakona_1019,Lakona,lako1245,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/koto1266/lako1245,159
abvdoceanic-Lonwolwol_1026,Lonwolwol,lonw1238,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/ambr1240/lonw1238,155
abvdoceanic-Tangoa_1027,Tangoa,tang1347,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/arak1257/tang1347,146
abvdoceanic-BieriaVowa_1031,Bieria (Vowa),bier1246,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/bier1245/bier1246,169
abvdoceanic-Koro_1032,Koro,koro1308,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/koto1266/koro1308,159
abvdoceanic-Baki_1033,Baki,baki1244,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/baki1243/baki1244,163
abvdoceanic-Larevat_1034,Larevat,lare1249,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/cent2316/lare1249,153
abvdoceanic-Piamatsina_1036,Piamatsina,piam1242,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/nort3217/piam1242,104
abvdoceanic-Amblong_1042,Amblong,ambl1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/sout3194/ambl1237,101
abvdoceanic-MaloNorth_1048,Malo (North),malo1243,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/malo1243,164
abvdoceanic-Lorediakarkar_1049,Lorediakarkar,lore1244,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/shar1251/lore1244,145
abvdoceanic-NarangoNambel_1056,Narango (Nambel),nara1263,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/sout3194/nara1263,151
abvdoceanic-VuresMosina_1065,Vurës (Mosina),vure1239,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/vure1239,166
abvdoceanic-Aore_1068,Aore,aore1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/aore1237,143
abvdoceanic-WusiValui_1072,Wusi (Valui),wusi1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/wusi1237,153
abvdoceanic-Maii_1075,Maii,maii1238,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/bier1245/maii1238,167
abvdoceanic-VeraaVatrata_1077,Vera'a (Vatrata),vera1241,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/leme1240/vera1241,161
abvdoceanic-MaewoCentralPeterara_1080,"Maewo, Central (Peterara)",cent2058,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/maew1234/cent2058,167
abvdoceanic-TannaNorth_1083,"Tanna, North",nort2847,oceanic,aust1307/mala1545/east2712/ocea1241/sout3173/sout2868/tann1242/nort3218/whit1270/nort2847,155
abvdoceanic-Tambotalo_1084,Tambotalo,tamb1253,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/east2754/sout3220/tamb1253,157
abvdoceanic-Marino_1086,Marino,mari1426,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/maew1234/mari1426,105
abvdoceanic-Eton_1088,Eton,eton1255,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/efat1241/efat1236/sout3196/eton1255,161
abvdoceanic-ButmasTurButmas_1100,Butmas-Tur (Butmas),butm1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/east2754/sout3220/butm1237,103
abvdoceanic-Morouas_1101,Morouas,moro1286,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/sout3194/moro1286,150
